player_id,player,player_role,key_cricinfo,role,final_role
2a04400b,Sabir Ali,Bowler,1328438,Bowler,Bowler
2a242d58,Simandeep Singh,Batter,633410,Middle order Batter,Batter
2a2e6343,DT Christian,Bowler,4864,Allrounder,Allrounder
2a731841,Tareq Aziz,Unclassified,56188,,Unclassified
2a9eee66,Vikramjit Singh,Batter,1153767,Opening Batter,Batter
2af838ee,N Pradeep,Unclassified,324358,Bowler,Bowler
2b30ca91,MR Johnson,Batter,25877,,Batter
2b6e6dec,AC Gilchrist,Batter,5390,Wicketkeeper Batter,Batter
2b76eb00,AS Luseno,Unclassified,24703,,Unclassified
2b8b75a0,H Osinde,Bowler,212175,Bowler,Bowler
2b944fb7,JS Ababu,Unclassified,24768,,Unclassified
2bb09eb2,Mohammad Ashraful,Batter,55988,Middle order Batter,Batter
2be41edb,MJ Guptill,Batter,226492,Opening Batter,Batter
2c13defe,TM Odoyo,All-Rounder,24705,Bowling Allrounder,Bowling Allrounder
2c54c49b,MJ Humphreys,Unclassified,1263361,Bowler,Bowler
2c997ad3,KMC Bandara,Unclassified,362079,,Unclassified
2cc08c3c,Shahid Wasif,Unclassified,919489,Middle order Batter,Batter
2cccba8f,Sanwar Hossain,Batter,56107,Middle order Batter,Batter
2cdce1be,C Sakariya,Unclassified,1131754,Bowler,Bowler
2cfa6534,Manjural Islam,Unclassified,55968,Bowler,Bowler
2cffab74,Mukesh Kumar,Unclassified,926851,Bowler,Bowler
2d03c3f8,C Cassell,Bowler,1444192,Bowler,Bowler
2d4465da,SG Whittingham,Bowler,627732,Bowler,Bowler
2d783277,I Maraj,Batter,23846,Batter,Batter
2e0fcc58,AG Wharf,Bowler,22380,,Bowler
2e11c706,BCJ Cutting,Unclassified,230371,Allrounder,Allrounder
2e171977,AR Patel,Bowler,554691,Allrounder,Allrounder
2e2fe3e8,DP Hyatt,Batter,52197,Allrounder,Allrounder
2e78f685,KR Sen,Unclassified,1163695,Bowler,Bowler
2e81a32d,B Kumar,Bowler,326016,Bowler,Bowler
2e8994e7,JP Duminy,Batter,44932,Batting Allrounder,Batting Allrounder
2e929b99,GO Jones,Batter,15501,Wicketkeeper Batter,Batter
2e9fdf9b,DAJ Bracewell,Bowler,362541,Bowler,Bowler
2ecd844a,BJ Currie,Bowler,1000791,Bowler,Bowler
2ed569a0,RD Chahar,Unclassified,1064812,Bowler,Bowler
2eece016,RN Bhatia,Unclassified,1156689,,Unclassified
2ef4f045,ME Sanuth,Batter,378457,,Batter
2f0d7e4a,RW Chakabva,Batter,293831,Wicketkeeper Batter,Batter
2f26ac1a,Mohammad Rizwan,Batter,323389,Wicketkeeper Batter,Batter
2f28dc94,RAS Lakmal,Bowler,49619,Bowler,Bowler
2f49c897,Mohammed Siraj,Bowler,940973,Bowler,Bowler
2f8a9682,RS Morton,Batter,52445,Batter,Batter
2f9d0389,LH Ferguson,Bowler,493773,Bowler,Bowler
2fdd16fe,RG Aga,Batter,24716,Bowler,Bowler
2feb5b8d,Akhil Kumar,Bowler,1193293,,Bowler
3029e282,Umar Amin,Batter,288211,Top order Batter,Batter
304c9c2e,RO Hurley,Unclassified,52076,,Unclassified
3086f7a4,Mohammad Nawaz,Unclassified,348148,Allrounder,Allrounder
30a45b23,SPD Smith,Batter,267192,Top order Batter,Batter
30b60511,LHD Dilhara,Bowler,48487,,Bowler
314642ed,K Sinclair,Bowler,1206110,Bowler,Bowler
3165bc1b,Krishna Chandran,Batter,290645,Allrounder,Allrounder
31803fac,Abu Hider,Unclassified,550137,Bowling Allrounder,Bowling Allrounder
3185266a,DLS van Bunge,Batter,24964,Allrounder,Allrounder
31ca7a9c,Ethan D'Souza,Batter,1345983,Batter,Batter
31ce61ab,BA Murphy,Bowler,55610,Bowler,Bowler
31e31116,SJ Swanepoel,Batter,24846,,Batter
31fbf891,H Masakadza,Batter,55608,Top order Batter,Batter
3204c99f,G Coetzee,Bowler,596010,Bowler,Bowler
32198ae0,MC Henriques,Batter,5961,Allrounder,Allrounder
321be7e3,A Ashok,Unclassified,1193546,Bowler,Bowler
3227beb4,IJ Harvey,Bowler,5597,Allrounder,Allrounder
323e4c16,HDPK Dharmasena,Unclassified,48469,Allrounder,Allrounder
3241e3fd,N Pooran,Batter,604302,Wicketkeeper Batter,Batter
327b58d3,PVD Chameera,Unclassified,552152,Bowler,Bowler
32a8161e,JW Jenner,Batter,526462,,Batter
3300d23c,SF Mire,Batter,290462,Batter,Batter
33085ffb,D Elgar,Batter,230852,Opening Batter,Batter
33155d1b,IR Bell,Batter,9062,Top order Batter,Batter
331bd689,MA Suji,Unclassified,24725,Bowler,Bowler
331ea488,UT Khawaja,Batter,215155,Top order Batter,Batter
3355b542,F du Plessis,Batter,44828,Middle order Batter,Batter
33609a8c,Saim Ayub,Batter,1161031,Top order Batter,Batter
