player_id,player,player_role,key_cricinfo
1edf29b9,Akshay Homraj,Batter,1205381.0
1ee08e9a,JA Richardson,Bowler,774223.0
1efd9f52,LJ Hamilton,Unclassified,37228.0
1eff8625,SC Joseph,Batter,52206.0
1f3ad23f,DR Chumney,Batter,23767.0
1f6cbaff,TC Bastiampillai,Batter,23874.0
1f7adc8a,Arafat Sunny,Bowler,56268.0
1fb2f362,IS Billcliff,Batter,23850.0
1fc6ef83,SD Hope,Batter,581379.0
1fe81cc9,T Kamungozi,Unclassified,235521.0
2008fc75,TT Samaraweera,Batter,50424.0
207c4398,SP Jones,Unclassified,15555.0
208f22ea,DJ Worrall,Unclassified,557298.0
20a941bb,M Ntini,Bowler,46592.0
20ab5aad,PD Blignaut,Unclassified,1256934.0
20f3a03d,RM Jariwala,Unclassified,1193304.0
20f4a109,TGJ Gruijters,Unclassified,364300.0
20fbf68c,Reon King,Unclassified,52294.0
210b05cb,Ehsan Adil,Unclassified,547092.0
210f4a5d,SH Lewis,Unclassified,1086206.0
211de69f,Azhar Ali,Batter,39037.0
21231130,JJ Esmeijer,Unclassified,24891.0
2182013e,SW Masakadza,Bowler,343529.0
218c7eab,Basir Ahamad,Unclassified,1290587.0
21afb939,Shoaib Khan,Batter,1276700.0
21b97584,Mrittunjoy Chowdhury,Unclassified,1012137.0
21bf71ab,T Mupariwa,Bowler,55652.0
21d4e29b,Navdeep Saini,Unclassified,700167.0
21e5f325,TA Blundell,Batter,440516.0
221ad9d9,GP Swann,Bowler,20431.0
2254ab79,Sarfraz Ahmed,Batter,227760.0
2259c12d,Tabarak Dar,Batter,24139.0
22860288,RJ Kirtley,Unclassified,15901.0
22ae3041,Fawad Ahmed,Unclassified,240609.0
22b98d7c,TW Hartley,Unclassified,1150772.0
22bd731a,DG Brownlie,Batter,4493.0
22feee04,Zubayr Hamza,Batter,550187.0
2318ba22,TLW Cooper,Batter,219885.0
235c2bb6,H Klaasen,Batter,436757.0
23cca426,OF Smith,All-Rounder,820691.0
23eeb873,DL Chahar,All-Rounder,447261.0
23f94c02,J Drysdale,Bowler,1427052.0
24104e5c,Tanbir Hayder,Unclassified,421892.0
243431b5,KJ O'Brien,Batter,24605.0
244048f6,Arshdeep Singh,Bowler,1125976.0
248698f4,DSK Madushanka,Unclassified,1043681.0
2498e163,JR Hopes,All-Rounder,5702.0
249d60c9,AU Rashid,Bowler,244497.0
24bb1c2f,Haris Rauf,Bowler,1161606.0
24ecc358,TM Dowlin,Batter,51660.0
24fcd95d,Kashif Daud,All-Rounder,229225.0
25020f9d,AR Caddick,Bowler,10633.0
2503e881,A Nel,Bowler,46569.0
25550d06,GI Hume,Bowler,379144.0
25d7f1ac,MD Patel,Batter,1159641.0
25d8d51a,KH Butt,Batter,24212.0
25e26a23,Najeeb Amar,Unclassified,42106.0
25f7b7d6,T Banton,Batter,877051.0
261d6559,Naved Latif,Batter,42066.0
26534b48,AM Guruge,Bowler,49013.0
267269e1,Faisal Iqbal,Batter,40088.0
26a85969,R Dhawan,Unclassified,290727.0
26d041c4,Sikandar Raza,Batter,299572.0
